product_id,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12,mean_sales,variance_sales,price_to_category_mean,quantity_total_sold,log_price,log_total_sales,peak_month,price_review_interaction,cat_Books,cat_Clothing,cat_Electronics,cat_Health,cat_Home & Kitchen,cat_Sports,cat_Toys,price_range_Low,price_range_Medium,price_range_High
30,27.99,4.3,690,487,573,374,180,73,381,9,314,389,919,22,900,385.0833333333333,92166.99242424246,0.11134324518265833,4621,3.3669509429335642,11.77022144582097,10,120.35699999999999,True,False,False,False,False,False,False,True,False,False
536,472.66,1.5,769,271,332,494,100,124,370,380,663,798,598,922,437,457.4166666666667,63513.35606060606,1.7826634345249823,5489,6.160489764734588,14.768878067942964,11,708.99,False,False,False,True,False,False,False,False,False,True
696,307.26,1.3,912,402,339,457,493,660,350,28,38,263,997,762,675,455.3333333333333,81841.51515151517,1.2086558997549564,5464,5.730943582718574,14.333631291592178,10,399.438,False,False,False,False,False,True,False,False,False,True
558,19.25,2.6,753,389,883,208,160,409,942,991,967,131,948,332,299,554.9166666666666,126544.44696969698,0.0765702935973879,6659,3.0081547935525483,11.761243463993134,7,50.050000000000004,False,False,False,False,False,False,True,True,False,False
837,457.85,1.5,201,784,913,857,63,86,56,12,908,822,383,228,526,469.8333333333333,138535.9696969697,1.9095408560415146,5638,6.128723359265022,14.76382667862067,2,686.7750000000001,False,False,False,False,True,False,False,False,False,True
597,335.44,2.1,529,73,210,816,425,582,209,790,288,731,532,885,948,540.75,88704.20454545454,1.2651305853616976,6489,5.818419827094236,14.593307276900903,12,704.424,False,False,False,True,False,False,False,False,False,True
166,418.47,4.3,227,353,914,254,698,725,458,947,752,810,870,103,251,594.5833333333334,86698.62878787878,1.745994639463886,7135,6.03899200964324,14.909373067603605,7,1799.421,False,False,True,False,False,False,False,False,False,True
919,382.98,2.6,685,314,627,830,343,630,299,662,604,417,426,886,400,536.5,39455.36363636364,1.5065125186752366,6438,5.950590467898009,14.717956385931332,11,995.748,False,False,False,False,False,True,False,False,False,True
496,179.91,3.7,431,14,629,310,259,896,485,70,797,358,867,490,529,475.3333333333333,84150.96969696971,0.678540554532623,5704,5.19799967003317,13.841380662404795,5,665.667,False,False,False,True,False,False,False,False,True,False
825,271.01,3.6,485,31,899,843,438,893,614,536,934,831,20,262,427,560.6666666666666,110501.8787878788,1.078068341441666,6728,5.605838830326074,14.416189470660004,8,975.636,True,False,False,False,False,False,False,False,True,False
66,273.63,4.0,371,74,294,687,777,105,288,207,925,140,831,844,296,455.6666666666667,107143.69696969696,1.1894795510753482,5468,5.615424737184461,14.218445695059689,8,1094.52,False,True,False,False,False,False,False,False,True,False
142,129.63,2.4,744,881,261,757,35,382,593,938,85,269,43,990,546,481.6666666666667,124690.0606060606,0.5156263459236049,5780,4.872368899498472,13.526844534925178,11,311.11199999999997,False,False,False,False,False,False,True,False,True,False
926,16.12,1.4,487,167,975,964,428,363,162,788,508,327,660,917,414,556.0833333333334,88371.35606060606,0.06412479858322445,6673,2.840247370713596,11.585894846318235,2,22.568,True,False,False,False,False,False,False,True,False,False
828,176.74,4.9,549,766,169,977,793,281,808,927,352,549,814,191,860,623.9166666666666,89324.26515151517,0.7030147371637578,7487,5.180321808310329,14.095603944033995,3,866.0260000000001,False,False,False,False,False,False,True,False,True,False
656,68.15,4.7,659,860,657,879,690,511,37,694,225,475,386,366,496,523.0,62453.27272727273,0.2842311004460614,6276,4.236278058110767,12.96620161002879,3,320.30500000000006,False,False,False,False,True,False,False,True,False,False
332,380.13,3.9,156,769,621,27,805,874,131,100,766,665,576,396,565,524.5833333333334,86485.35606060606,1.4336814017813682,6295,5.943140524277792,14.688024663857044,5,1482.507,False,False,False,True,False,False,False,False,False,True
665,55.38,5.0,755,57,194,189,495,426,546,50,856,539,734,838,382,442.1666666666667,78887.96969696971,0.22029971126172274,5306,4.032114485685967,12.59081545557461,8,276.90000000000003,True,False,False,False,False,False,False,True,False,False
250,427.24,3.5,735,722,362,363,729,983,180,966,260,956,885,792,423,635.0833333333334,88942.44696969698,1.680616242307191,7621,6.059683786085126,14.996009097013246,5,1495.3400000000001,False,False,False,False,False,True,False,False,False,True
908,174.2,2.5,657,418,810,460,502,404,372,774,960,942,781,528,259,600.8333333333334,57080.51515151515,0.7265305604945546,7210,5.165928178502291,14.043429090886834,8,435.5,False,False,False,False,True,False,False,False,True,False
709,131.05,3.5,986,873,674,662,189,556,585,355,241,560,79,437,371,465.1666666666667,52520.696969696975,0.5213123358766479,5582,4.883180638743141,13.502882710879316,1,458.67500000000007,True,False,False,False,False,False,False,False,True,False
306,488.05,4.5,943,539,963,932,809,502,335,433,402,616,981,674,625,650.9166666666666,50611.35606060606,1.9414459025150554,7811,6.192464733736502,15.153706397549813,10,2196.225,True,False,False,False,False,False,False,False,False,True
735,182.62,1.5,188,279,181,890,322,947,77,542,511,951,736,778,245,538.25,99896.20454545454,0.7183647087588692,6459,5.212868404715554,13.980638125006575,9,273.93,False,False,False,False,False,True,False,False,True,False
976,134.82,4.8,48,564,762,606,328,521,893,382,288,765,494,166,88,488.0833333333333,61561.35606060606,0.5625134353538391,5857,4.911330479685645,13.579334627912965,6,647.136,False,False,True,False,False,False,False,False,True,False
50,96.5,1.1,888,256,582,144,794,196,745,25,627,315,287,767,691,452.4166666666667,75801.90151515152,0.3639551081785232,5429,4.579852378003801,13.169055151015248,4,106.15,False,False,False,True,False,False,False,True,False,False
897,150.11,3.5,214,782,804,123,133,580,48,803,626,143,839,697,801,531.5833333333334,102450.62878787877,0.5971323520674828,6379,5.018008048425669,13.77213602724354,10,525.385,True,False,False,False,False,False,False,False,True,False
3,367.34,4.5,163,348,558,567,143,771,409,290,828,340,667,267,392,465.0,45141.27272727273,1.4611600857176348,5580,5.90900642466746,14.533232392938286,8,1653.03,False,False,False,False,False,False,True,False,False,True
